mortgageInterestRate,delta
0,99641.84938475102552426516182
0.01,91297.31717334864305228032875
0.02,82742.18968666678234435201048
0.03,73995.589476060297160914013302
0.04,65077.385052030366403735741043
0.05,56007.654315631586254890054617
0.06,46806.177451849534165656034762
0.07,37491.986686384717093865878233
0.08,28082.993048204656705123770561
0.09,18595.701903476782860130577564
0.10,9045.020712963216987977296159
0.11,-555.844812223395208043341304
0.12,-10195.415581186042930910913770
0.13,-19863.89809036830279842317464
0.14,-29553.09229419595037159079042
0.15,-39256.26329105539600470241891
0.16,-48967.99061345555660734050230
0.17,-58684.00699698693907255527481
0.18,-68401.03619655184875427133915
0.19,-78116.63704156549499064512681
0.20,-87829.05870250940957198662960
