savingsInterestRate,delta
-0.1,71176.140706749660512715354993
-0.09,70515.449199584617947946875109
-0.08,69815.306732517555631052470913
-0.07,69073.616758535854640799949472
-0.06,68288.176594835937500270234646
-0.05,67456.672216565811270915119730
-0.04,66576.672801624614932774619317
-0.03,65645.625014886891252156674790
-0.02,64660.847019687568148029820735
-0.01,63619.522203848109795783669745
0.00,62518.692606943941540276812610
0.01,61355.252034906978662658121909
0.02,60125.938847423764162766206936
0.03,58827.328402928163508556923064
0.04,57455.825145296542785848322245
0.05,56007.654315631586254890054617
0.06,54478.853271767050563901958431
0.07,52865.262397338409253285677019
0.08,51162.515581442056684717048252
0.09,49366.030249046997151108385022
0.10,47470.996921426160116758160384
0.11,45472.368284938006511520393161
0.12,43364.847745511203931582073167
0.13,41142.877445164057709207236253
0.14,38800.625715824221357115652203
0.15,36331.973944601025997352847775
0.16,33730.502823500533772941302231
0.17,30989.477955360018820950287344
0.18,28101.834786511805699940762869
0.19,25060.162835363950695882522018
0.20,21856.689184704740759293190732
