initialMonthlyRentPrice,delta
500,7778.89911458874712288376254
600,15077.29095182480123226218018
700,22375.68278906085534164059787
800,29674.07462629690945101901552
900,36972.466463532963560397433196
1000,44270.858300769017669775850859
1100,51569.250138005071779154268526
1200,58867.641975241125888532686195
1300,66166.033812477179997911103864
1400,73464.425649713234107289521530
1500,80762.81748694928821666793920
1600,88061.20932418534232604635686
1700,95359.60116142139643542477453
1800,102657.99299865745054480319220
1900,109956.38483589350465418160986
2000,117254.77667312955876356002753
