rentPriceYearlyIncrease,delta
-0.1,45206.576055617008755289328423
-0.09,46627.242094257729731416811426
-0.08,48077.255833064258386844527851
-0.07,49557.082654612476184164547465
-0.06,51067.191901556236389521674461
-0.05,52608.056876627364072613447455
-0.04,54180.154842635656106690139479
-0.03,55783.967022468881168554757977
-0.02,57419.978599092779738563044838
-0.01,59088.678715551064100623476354
0.00,60790.560474965418342197263232
0.01,62526.120940535498354298350618
0.02,64295.861135538931831493418068
0.03,66100.286043331318271901879565
0.04,67939.904607346228977195883497
0.05,69815.229731095207052600312698
0.06,71726.778278167767406892784396
0.07,73675.071072231396752403650265
0.08,75660.632897031553605015996385
0.09,77683.992496391668284165643258
0.10,79745.68257421314291284114581
0.11,81846.23979447535141758379339
0.12,83986.20478123563952848760975
0.13,86166.12211862932477919935309
0.14,88386.54035086969650691851603
0.15,90648.01198224801585239732557
